"","Home.Team","Away.Team","Goals H","Goals A","Probability"
"162","Envigado","Patriotas",2,5,0.000928581351596571
"163","Envigado","Patriotas",3,0,0.00409663594386015
"164","Envigado","Patriotas",3,1,0.00588074256583505
"165","Envigado","Patriotas",3,2,0.00433585034365514
"166","Envigado","Patriotas",3,3,0.00638342430063832
"167","Envigado","Patriotas",3,4,0.000795498870539658
"168","Envigado","Patriotas",3,5,0.000231592410521815
"169","Envigado","Patriotas",4,0,0.000578519260547798
"170","Envigado","Patriotas",4,1,0.000829356500106371
"171","Envigado","Patriotas",4,2,0.000628203062521598
"172","Envigado","Patriotas",4,3,0.000332444399833773
"173","Envigado","Patriotas",4,4,0.00146357793844419
"174","Envigado","Patriotas",4,5,4.39033789310362e-05
"175","Envigado","Patriotas",5,0,6.63599580701395e-05
"176","Envigado","Patriotas",5,1,9.42403282726069e-05
"177","Envigado","Patriotas",5,2,7.20386608138005e-05
"178","Envigado","Patriotas",5,3,3.99995400184476e-05
"179","Envigado","Patriotas",5,4,1.78261930067279e-05
"180","Envigado","Patriotas",5,5,0.000341071491429042
"181","LaEquidad","Petrolera",0,0,0.17350728494368
"182","LaEquidad","Petrolera",0,1,0.193414829186562
"183","LaEquidad","Petrolera",0,2,0.116499493353093
"184","LaEquidad","Petrolera",0,3,0.0468391597859441
"185","LaEquidad","Petrolera",0,4,0.0141409669266098
"186","LaEquidad","Petrolera",0,5,0.0034193545795314
"187","LaEquidad","Petrolera",1,0,0.0856438979194512
"188","LaEquidad","Petrolera",1,1,0.126975826280444
"189","LaEquidad","Petrolera",1,2,0.0707745130934077
"190","LaEquidad","Petrolera",1,3,0.029905811543819
"191","LaEquidad","Petrolera",1,4,0.00941135216423853
"192","LaEquidad","Petrolera",1,5,0.00235581402689911
"193","LaEquidad","Petrolera",2,0,0.0230482380631219
"194","LaEquidad","Petrolera",2,1,0.0314636238959164
"195","LaEquidad","Petrolera",2,2,0.0317864022335233
"196","LaEquidad","Petrolera",2,3,0.00987358199366512
"197","LaEquidad","Petrolera",2,4,0.00336468119672969
"198","LaEquidad","Petrolera",2,5,0.000910111179590694
"199","LaEquidad","Petrolera",3,0,0.00417835221947331
"200","LaEquidad","Petrolera",3,1,0.00593747929490647
"201","LaEquidad","Petrolera",3,2,0.00438174546081603
"202","LaEquidad","Petrolera",3,3,0.00643207628157847
"203","LaEquidad","Petrolera",3,4,0.000839933665537431
"204","LaEquidad","Petrolera",3,5,0.000254935355948233
"205","LaEquidad","Petrolera",4,0,0.000574004858407178
"206","LaEquidad","Petrolera",4,1,0.000838704939785894
"207","LaEquidad","Petrolera",4,2,0.00066169404762326
"208","LaEquidad","Petrolera",4,3,0.000369674613428453
"209","LaEquidad","Petrolera",4,4,0.0014863169492472
"210","LaEquidad","Petrolera",4,5,5.55227253891203e-05
"211","LaEquidad","Petrolera",5,0,6.37196279459273e-05
"212","LaEquidad","Petrolera",5,1,9.47498190640865e-05
"213","LaEquidad","Petrolera",5,2,7.92514513289137e-05
"214","LaEquidad","Petrolera",5,3,4.90540460195843e-05
"215","LaEquidad","Petrolera",5,4,2.4159035134093e-05
"216","LaEquidad","Petrolera",5,5,0.000343683242139056
