"","Home.Team","Away.Team","Goals H","Goals A","Probability"
"172","Bucaramanga","AmericaDeCali",4,3,0.00063066791644629
"173","Bucaramanga","AmericaDeCali",4,4,0.00148772470431007
"174","Bucaramanga","AmericaDeCali",4,5,3.34090539048324e-05
"175","Bucaramanga","AmericaDeCali",5,0,0.000794233620357257
"176","Bucaramanga","AmericaDeCali",5,1,0.000713952217709468
"177","Bucaramanga","AmericaDeCali",5,2,0.000364973186364075
"178","Bucaramanga","AmericaDeCali",5,3,0.000137826907496468
"179","Bucaramanga","AmericaDeCali",5,4,4.09634338774018e-05
"180","Bucaramanga","AmericaDeCali",5,5,0.000343456857331148
"181","Cortulua","Atl.Nacional",0,0,0.122318276999176
"182","Cortulua","Atl.Nacional",0,1,0.187702222755379
"183","Cortulua","Atl.Nacional",0,2,0.162317660691898
"184","Cortulua","Atl.Nacional",0,3,0.0943212825865456
"185","Cortulua","Atl.Nacional",0,4,0.041411398968756
"186","Cortulua","Atl.Nacional",0,5,0.0146445456235766
"187","Cortulua","Atl.Nacional",1,0,0.0419947612516922
"188","Cortulua","Atl.Nacional",1,1,0.096948193118741
"189","Cortulua","Atl.Nacional",1,2,0.0753768935339053
"190","Cortulua","Atl.Nacional",1,3,0.0463260780799912
"191","Cortulua","Atl.Nacional",1,4,0.0211367040619108
"192","Cortulua","Atl.Nacional",1,5,0.00766433802457356
"193","Cortulua","Atl.Nacional",2,0,0.00877289041053505
"194","Cortulua","Atl.Nacional",2,1,0.0171714789436819
"195","Cortulua","Atl.Nacional",2,2,0.0271984847920746
"196","Cortulua","Atl.Nacional",2,3,0.011038659808407
"197","Cortulua","Atl.Nacional",2,4,0.00534417809584303
"198","Cortulua","Atl.Nacional",2,5,0.00204451260724479
"199","Cortulua","Atl.Nacional",3,0,0.00128642662793476
"200","Cortulua","Atl.Nacional",3,1,0.00248829729860839
"201","Cortulua","Atl.Nacional",3,2,0.00248428449119125
"202","Cortulua","Atl.Nacional",3,3,0.00596341262153028
"203","Cortulua","Atl.Nacional",3,4,0.000876176803049526
"204","Cortulua","Atl.Nacional",3,5,0.000361923568791504
