"","Home.Team","Away.Team","Goals H","Goals A","Probability","Game"
"129","Dep.Pasto","Aguilas",3,2,0.00874210032002158,4
"130","Dep.Pasto","Aguilas",3,3,0.00561699170487185,4
"131","Dep.Pasto","Aguilas",3,4,0.000159418118390694,4
"132","Dep.Pasto","Aguilas",3,5,1.45687405027501e-05,4
"133","Dep.Pasto","Aguilas",4,0,0.0357509888146288,4
"134","Dep.Pasto","Aguilas",4,1,0.0157631368071193,4
"135","Dep.Pasto","Aguilas",4,2,0.00391301249911449,4
"136","Dep.Pasto","Aguilas",4,3,0.000679459635671244,4
"137","Dep.Pasto","Aguilas",4,4,0.00142111578763827,4
"138","Dep.Pasto","Aguilas",4,5,8.82265553626359e-06,4
"139","Dep.Pasto","Aguilas",5,0,0.0115897529684281,4
"140","Dep.Pasto","Aguilas",5,1,0.00520024924176124,4
"141","Dep.Pasto","Aguilas",5,2,0.00137595792911893,4
"142","Dep.Pasto","Aguilas",5,3,0.000265556165985607,4
"143","Dep.Pasto","Aguilas",5,4,3.90471117184391e-05,4
"144","Dep.Pasto","Aguilas",5,5,0.000340167429440043,4
"145","DeportesTolima","Aguilas",0,0,0.155123711032364,5
"146","DeportesTolima","Aguilas",0,1,0.0715397886667602,5
"147","DeportesTolima","Aguilas",0,2,0.0190679701111385,5
"148","DeportesTolima","Aguilas",0,3,0.003590317021297,5
"149","DeportesTolima","Aguilas",0,4,0.000533499878803532,5
"150","DeportesTolima","Aguilas",0,5,6.60440715162481e-05,5
"151","DeportesTolima","Aguilas",1,0,0.190466604269584,5
"152","DeportesTolima","Aguilas",1,1,0.120747810784814,5
"153","DeportesTolima","Aguilas",1,2,0.0293727588265261,5
"154","DeportesTolima","Aguilas",1,3,0.00566867211832599,5
"155","DeportesTolima","Aguilas",1,4,0.000845342324983185,5
"156","DeportesTolima","Aguilas",1,5,0.000103708198303881,5
"157","DeportesTolima","Aguilas",2,0,0.12826817604215,5
"158","DeportesTolima","Aguilas",2,1,0.0749164906346348,5
"159","DeportesTolima","Aguilas",2,2,0.0326857722816381,5
"160","DeportesTolima","Aguilas",2,3,0.00456499365810357,5
"161","DeportesTolima","Aguilas",2,4,0.000701209530203564,5
"162","DeportesTolima","Aguilas",2,5,8.68922918313157e-05,5
"163","DeportesTolima","Aguilas",3,0,0.0579448374276028,5
"164","DeportesTolima","Aguilas",3,1,0.0353941654972908,5
"165","DeportesTolima","Aguilas",3,2,0.0113456775323799,5
"166","DeportesTolima","Aguilas",3,3,0.00670017869749881,5
"167","DeportesTolima","Aguilas",3,4,0.000402881029801212,5
"168","DeportesTolima","Aguilas",3,5,5.21401484803116e-05,5
"169","DeportesTolima","Aguilas",4,0,0.0197436184267785,5
"170","DeportesTolima","Aguilas",4,1,0.0124402284283952,5
"171","DeportesTolima","Aguilas",4,2,0.00423479180378659,5
"172","DeportesTolima","Aguilas",4,3,0.000998314316785706,5
"173","DeportesTolima","Aguilas",4,4,0.00150548418422904,5
"174","DeportesTolima","Aguilas",4,5,2.4843031060723e-05,5
"175","DeportesTolima","Aguilas",5,0,0.00540942925884731,5
"176","DeportesTolima","Aguilas",5,1,0.00347928991435169,5
"177","DeportesTolima","Aguilas",5,2,0.00124807555443059,5
"178","DeportesTolima","Aguilas",5,3,0.000319394985793625,5
"179","DeportesTolima","Aguilas",5,4,6.26987269956151e-05,5
"180","DeportesTolima","Aguilas",5,5,0.000344189292512976,5
"181","Envigado","Aguilas",0,0,0.240942443387541,6
"182","Envigado","Aguilas",0,1,0.102444036350743,6
"183","Envigado","Aguilas",0,2,0.0244178565347141,6
"184","Envigado","Aguilas",0,3,0.00410996348728044,6
"185","Envigado","Aguilas",0,4,0.00054523568183524,6
"186","Envigado","Aguilas",0,5,6.01682370119552e-05,6
"187","Envigado","Aguilas",1,0,0.208185480304574,6
"188","Envigado","Aguilas",1,1,0.125278231025277,6
"189","Envigado","Aguilas",1,2,0.0279474227744238,6
"190","Envigado","Aguilas",1,3,0.00480353936550816,6
"191","Envigado","Aguilas",1,4,0.000631511491676862,6
"192","Envigado","Aguilas",1,5,6.81298025002815e-05,6
"193","Envigado","Aguilas",2,0,0.0975434968793066,6
"194","Envigado","Aguilas",2,1,0.0549897317776703,6
"195","Envigado","Aguilas",2,2,0.0258995684132724,6
"196","Envigado","Aguilas",2,3,0.00293712144890293,6
"197","Envigado","Aguilas",2,4,0.000403470080352516,6
"198","Envigado","Aguilas",2,5,4.3913503043943e-05,6
"199","Envigado","Aguilas",3,0,0.0311329231686428,6
"200","Envigado","Aguilas",3,1,0.0180490343154232,6
"201","Envigado","Aguilas",3,2,0.00565528836803575,6
"202","Envigado","Aguilas",3,3,0.00542232622339271,6
"203","Envigado","Aguilas",3,4,0.000185259978202052,6
"204","Envigado","Aguilas",3,5,2.19351535426006e-05,6
"205","Envigado","Aguilas",4,0,0.00757719196779627,6
"206","Envigado","Aguilas",4,1,0.00440145264478314,6
"207","Envigado","Aguilas",4,2,0.00146779153176725,6
"208","Envigado","Aguilas",4,3,0.000355021218751386,6
"209","Envigado","Aguilas",4,4,0.00139007260019302,6
"210","Envigado","Aguilas",4,5,8.96737083673803e-06,6
"211","Envigado","Aguilas",5,0,0.00149365227611986,6
"212","Envigado","Aguilas",5,1,0.000857479600856272,6
"213","Envigado","Aguilas",5,2,0.00029605397703608,6
"214","Envigado","Aguilas",5,3,8.01842261187672e-05,6
"215","Envigado","Aguilas",5,4,1.73602499175676e-05,6
"216","Envigado","Aguilas",5,5,0.000336684582950597,6
"217","LaEquidad","Aguilas",0,0,0.305127727418772,7
"218","LaEquidad","Aguilas",0,1,0.0965973852148013,7
"219","LaEquidad","Aguilas",0,2,0.0169703696809549,7
"220","LaEquidad","Aguilas",0,3,0.00210853481106745,7
"221","LaEquidad","Aguilas",0,4,0.000206672232511898,7
"222","LaEquidad","Aguilas",0,5,1.68536494476272e-05,7
"223","LaEquidad","Aguilas",1,0,0.233236403674349,7
"224","LaEquidad","Aguilas",1,1,0.108778157909889,7
"225","LaEquidad","Aguilas",1,2,0.0179334133995569,7
"226","LaEquidad","Aguilas",1,3,0.00231392757176302,7
